configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
COVERAGE,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,freemind.extensions.ExportHook,BRANCH;CBRANCH,0.3448275862068966,0.3448275862068966,0.3448275862068966,26,7,7,58,20
DEFAULT,freemind.extensions.ExportHook,BRANCH;CBRANCH,0.3448275862068966,0.3448275862068966,0.3448275862068966,26,7,7,58,20
DEFAULT,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
DEFAULT,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
